Dose,SplineR,SplineG,SplineB
1.57190635451505,84.07578174444814,83.17655354239379,78.7418193228407
1.6053511705685617,83.08981177452871,82.30858018460316,78.44717702978674
1.6387959866220736,82.12684523464279,81.456830164589,78.15726316986107
1.6722408026755853,81.18665187703904,80.62114710019192,77.87203103006753
1.705685618729097,80.26900145396624,79.80137460925252,77.59143389741004
1.7391304347826086,79.37366371767304,78.99735630961138,77.31542505889247
1.7725752508361203,78.50040842040816,78.20893581910906,77.04395780151872
1.806020066889632,77.6490053144203,77.43595675558618,76.77698541229262
1.8394648829431437,76.81922415195814,76.67826273688331,76.51446117821813
1.8729096989966554,76.01083468527045,75.93569738084105,76.25633838629905
1.906354515050167,75.22360666660583,75.2081043053,76.00257032353933
1.9397993311036787,74.45730984821309,74.49532712810071,75.75311027694282
1.9732441471571907,73.71171398234087,73.7972094670838,75.50791153351341
2.0066889632107023,72.98658882123789,73.11359494008984,75.26692738025498
2.040133779264214,72.28170411715284,72.44432716495943,75.03011110417144
2.0735785953177257,71.59682962233445,71.78924975953316,74.79741599226662
2.1070234113712374,70.9317350890314,71.1482063416516,74.56879533154445
2.140468227424749,70.28619026949241,70.52104052915536,74.3442024090088
2.1739130434782608,69.65996491596617,69.90759593988501,74.12359051166355
2.2073578595317724,69.0528287807014,69.30771619168112,73.90691292651256
2.240802675585284,68.46455161594677,68.72124490238434,73.69412294055975
2.274247491638796,67.89490317395102,68.14802568983521,73.48517384080898
2.3076923076923075,67.34365320696284,67.58790217187432,73.28001891426415
2.341137123745819,66.81057146723091,67.04071796634229,73.07861144792913
2.374581939799331,66.29542770700398,66.50631669107965,72.88090472880782
2.4080267558528425,65.79799167853072,65.98454196392704,72.68685204390407
2.441471571906354,65.31803313405985,65.47523740272501,72.4964066802218
2.474916387959866,64.85532182584004,64.9782466253142,72.30952192476488
2.508361204013378,64.40962750612005,64.49341324953514,72.12615106453717
2.5418060200668897,63.98071992714851,64.02058089322846,71.94624738654258
2.5752508361204014,63.5683688411742,63.559593174234706,71.76976417778498
2.608695652173913,63.172344000445776,63.1102937103945,71.59665472526828
2.6421404682274248,62.79241515721194,62.67252611954844,71.42687231599633
2.6755852842809364,62.42835206372141,62.24613401953707,71.26037023697303
2.709030100334448,62.0799244722229,61.830961028201024,71.09710177520225
2.74247491638796,61.746902134965126,61.42685076338084,70.93702021768789
2.7759197324414715,61.42905480419674,61.033646842917165,70.7800788514338
2.809364548494983,61.12615223216646,60.65119288465054,70.62623096344392
2.842809364548495,60.83796417112301,60.27933250642158,70.47542984072209
2.8762541806020065,60.56426037331508,59.91790932607084,70.32762877027218
2.9096989966555182,60.30481059099138,59.566766961438944,70.18278103909812
2.94314381270903,60.059384576400646,59.225749030366465,70.04083993420376
2.9765886287625416,59.8277520817915,58.89469915069398,69.90175874259299
3.0100334448160533,59.609682859412715,58.57346094026211,69.76549075126971
3.043478260869565,59.40494666151294,58.261878016911396,69.63198924723777
3.0769230769230766,59.21331324034092,57.95979399848248,69.50120751750109
3.1103678929765883,59.034552348145354,57.66705250281588,69.37309884906352
3.1438127090301,58.86843373717496,57.38349714775225,69.24761652892897
3.1772575250836117,58.71472715967842,57.108971551132164,69.1247138441013
3.2107023411371234,58.5732023679044,56.84331933079618,69.0043440815844
3.2441471571906355,58.44362911410164,56.58638410458491,68.88646052838217
3.277591973244147,58.325777150518874,56.33800949033893,68.77101647149848
3.311036789297659,58.21941622940474,56.09803910589885,68.65796519793719
3.3444816053511706,58.12431610300801,55.86631656910523,68.54725999470223
3.3779264214046822,58.04024652357736,55.64268549779864,68.43885414879746
3.411371237458194,57.96697724336144,55.42698950981973,68.33270094722675
